nlm_id,title_abbreviation,title_full,authors,publication_start_year,publication_end_year,frequency,country,publisher,language,issn_electronic,issn_print,issn_linking,lccn,electronic_links,indexing_status,current_subset,mesh_terms,publication_types,notes,broad_subject_terms,subject_term_count
7708172.0,AADE Ed J,AADE editors' journal.,American Association of Dental Editors.,1974,1983,Three no. a year,United States,"[Santa Barbara, Calif.] American Assn. of Dental Editors.",English,,0160-6999,0160-6999,,,Not currently indexed for MEDLINE.,,Publishing*,Periodical,,Dentistry,1
370411.0,ADM,ADM; revista de la Asociación Dental Mexicana.,Asociación Dental Mexicana.,1943,1979,Bimonthly,Mexico,"México, La Asociación.",Spanish,,,,,,Not currently indexed for MEDLINE.,,Dentistry*,Periodical,Microfilm. v. 3 (1946)-15 (1958). 4 microfilm reels : negative ; 35 mm.,Dentistry,1
8712346.0,ADM (1986),ADM : organo oficial de la Asociación Dental Mexicana.,Asociación Dental Mexicana.,1986,1987,Bimonthly,Mexico,"[México, D.F. : La Asociación, 1986-1987]","Spanish, Spanish",,,,,,Not currently indexed for MEDLINE.,,Dentistry*,Periodical,Articles and summaries in Spanish.,Dentistry,1
7513559.0,AMDI Boll,AMDI bollettino.,Associazione medici dentisti italiani.,1955,1979,Monthly,Italy,Roma.,Italian,,0001-1908,0001-1908,,,Not currently indexed for MEDLINE.,,Dentistry*,Periodical,Special numbers accompany some volumes. Microfilm. v. 1 (1955)-v. 5 (1959) 2,Dentistry,1
146172.0,ASDC J Dent Child,ASDC journal of dentistry for children.,American Society of Dentistry for Children.,1968,2002,"Three times a year, -2002",United States,"Chicago, Ill. : American Society of Dentistry for Children, [1968]-c2002.",English,,1945-1954,1945-1954,2003243286,http://www.ingentaconnect.com/content/aapd/jodc,Not currently indexed for MEDLINE.,,Pediatric Dentistry*,Periodical,"Cover of Vol. 57, no. 2 misnumbered as v. 58, no. 2. Also issued online.",Dentistry; Pediatrics,2
7503275.0,Acad Rev Calif Acad Periodontol,"Academy review of the California Academy of Periodontology, United States",California Academy of Periodontology.,1953,1966,Semiannual,United States,San Francisco.,English,,0008-0810,0008-0810,,,Not currently indexed for MEDLINE.,,Periodontics*,Periodical,,Dentistry,1
8610218.0,Acta Odontol Latinoam,Acta odontológica latinoamericana : AOL.,,1984,,Two no. a year,Argentina,Buenos Aires : Acta Odontologica Latinoamericana,"English, Spanish",1852-4834,0326-4815,0326-4815,,"http://www.actaodontologicalat.com/, http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-4834&lng=en&nrm=iso, https://pmc.ncbi.nlm.nih.gov/journals/?term=8610218",Currently indexed for MEDLINE.,Dentistry; Index Medicus,Dentistry*; Research*,Periodical,"Title from cover. Print issues ceased with v. 27, no.1 (2014). Also issued",Dentistry,1
370344.0,Acta Odontol Scand,Acta odontologica Scandinavica.,,1939,,Six no. a year,Sweden,"Stockholm, Norstedt",English,1502-3850,0001-6357,0001-6357,sn 79006924,"http://www.tandfonline.com/loi/iode20, https://medicaljournalssweden.se/actaodontologica, https://pmc.ncbi.nlm.nih.gov/journals/?term=0370344",Currently indexed for MEDLINE.,Dentistry; Index Medicus,Dentistry*,Periodical,With v. 1-2 is bound its Supplementum [1] Print issues ceased with v. 71 (2013).,Dentistry,1
370345.0,Acta Odontol Scand Suppl,Acta odontologica Scandinavica. Supplementum.,,1939,1976,Irregular,Norway,Stockholm,English,,,,,,Not currently indexed for MEDLINE.,,Dentistry*,Periodical,"Supplementum [1] bound with Acta odontologica Scandinavica, v. 1-2. Microfilm.",Dentistry,1
,Acta Odontol Venez,Acta odontológica venezolana.,"Venezuela. Universidad Central, Caracas. Facultad de Odontología.",1963,,Three no. a year,Venezuela,Caracas.,Spanish,,0001-6365,0001-6365,,https://www.actaodontologica.com/,Not currently indexed for MEDLINE.,,Dentistry*,Periodical,Also available online. Official organ of the Facultad de Odontología of the,Dentistry,1
421026.0,Acta Stomatol Belg,Acta stomatologica Belgica.,Société belge d'orthopédie dento-faciale.; Société belge de stomatologie.;,1960,1997,Quarterly,Belgium,Bruxelles.,"French, English",,0001-7000,0001-7000,,,Not currently indexed for MEDLINE.,,Mouth Diseases*,Periodical,Text in French or Dutch. Organ of the Société belge d'orthopédie dento-faciale,Dentistry,1
253456.0,Acta Stomatol Croat,Acta stomatologica Croatica.,Drus̆tvo zubo-zdravstvenih radnika Hrvatske.; Sveučilište u Zagrebu.,1966,,Quarterly,Croatia,Zagreb [1966?]-,"Croatian, English, English",1846-0410,0001-7019,0001-7019,,"http://www.ascro.hr/, https://pmc.ncbi.nlm.nih.gov/journals/?term=0253456",Not currently indexed for MEDLINE.,,Dentistry*; Mouth Diseases*,Periodical,"Also issued online. Issued by the Stomatolos̆ki fakultet Sveuc̆ilis̆ta u Zagrebu,",Dentistry,1
9614683.0,Actual Odonto Estomatol Esp,Actualidad odontoestomatologica española/ Ilustre Consejo General de Colegios de,Ilustre Consejo General de Colegios de Odontólogos y Estomatólogos de España.,1995,1995,Ten no. a year,Spain,"Madrid : Editorial Garsi,","Spanish, English",,1136-4386,1136-4386,sn 96039701,,Not currently indexed for MEDLINE.,,Dentistry*; Mouth Diseases*,Periodical,"Description based on: Año 55, nũm. 440 (enero-feb. 1995); title from cover. In",Dentistry,1
370406.0,Actual Odontostomatol (Paris),Actualités odonto-stomatologiques.,"Association d'enseignement odonto-stomatologique à l'hôpital, Paris.",1947,,Quarterly,France,Paris : Editions Julien Prelat,French,,0001-7817,0001-7817,sn 78003603,http://aos.edp-dentaire.fr/,Not currently indexed for MEDLINE.,,Dentistry*; Mouth Diseases*,Periodical,Issued under the auspices of the Association d'enseignement odonto-stomatologique,Dentistry,1
8802131.0,Adv Dent Res,Advances in dental research.,International Association for Dental Research.; International Association for,1987,,Irregular,United States,"[Washington, DC] : International Association for Dental Research, [c1987-",English,1544-0737,0895-9374,0895-9374,,https://journals.sagepub.com/home/adr,Currently indexed for MEDLINE.,Dentistry; Index Medicus,Dentistry*,Periodical,Title from cover. Consists of papers of proceedings. Print issues ceased with v.,Dentistry,1
,Adv Fluorine Res,Advances in fluorine research and dental caries prevention.,"Hardwick,James Leslie",1962,1966,,United States,New York.,Multiple languages,,,,,,Not currently indexed for MEDLINE.,,Dental Caries.*; Fluoridation*,Periodical,"Editors: 1962- J. L. Hardwick [et al.] Contributions in English, French, or",Dentistry,1
261.0,Adv Oral Biol,Advances in oral biology.,"Staple,Peter Hugh,1917-",1964,1970,Irregular,United States,"New York, Academic Press.",English,,0065-3020,0065-3020,,,Not currently indexed for MEDLINE.,,Dentistry*; Mouth Diseases*,Periodical,Editor: P. H. Staple.,Dentistry,1
410245.0,Adv Sociodent Res,Advances in socio-dental research.,American Dental Association.,1973,1975,Irregular,United States,[Chicago] American Dental Assn.,English,,0092-9816,0092-9816,,,Not currently indexed for MEDLINE.,,Dentistry*,Abstracts,Collected from Oral research abstracts.,Dentistry,1
8813229.0,Afr Dent J,African dental journal : official publication of the Federation of African Dental,Federation of African Dental Associations.,1987,1996,Two no. a year,Nigeria,"Lagos, Nigeria : The Federation, [1987-","English, French",,0794-7348,0794-7348,,,Not currently indexed for MEDLINE.,,Dentistry*,Periodical,Title from cover. Articles chiefly in English with some in French.,Dentistry,1
7501066.0,Aichi Gakuin Daigaku Shigakkai Shi,Aichi Gakuin Daigaku Shigakkai shi.,Aichi Gakuin Daigaku. Shigakkai.,1964,,Quarterly,Japan,[Nagoya],"Japanese, English",,0044-6912,0044-6912,,,Not currently indexed for MEDLINE.,,Dentistry*,Periodical,Added title in English: Aichi-Gakuin journal of dental science. Table of contents,Dentistry,1
9206301.0,Aichi Gakuin Dent Sci,Aichi-Gakuin dental science.,Aichi Gakuin Daigaku. Shigakkai.; Aichi Gakuin Daigaku. Shigakubu.,1988,,Annual,Japan,"Nagoya, Japan : Aichi-Gakuin Society of Dental Science, [1988?-",English,,0916-2062,0916-2062,,,Not currently indexed for MEDLINE.,,Dentistry*,Periodical,Description based on surrogate; title from cover. Official publication of the,Dentistry,1
,Alma Mater (Baltimore),The Alma mater.,Baltimore College of Dental Surgery. Alumni Association.,1959,,Annual,United States,[Baltimore],English,,0065-6445,,,,Not currently indexed for MEDLINE.,,,,"Official publication of the Alumni Association, Baltimore College of Dental",Dentistry,1
,Alpha Omegan,The Alpha omegan.,Alpha Omega (Fraternity),1916,2015,Quarterly,Canada,"[New York, etc.] Alpha Omega Fraternity.",English,,0002-6417,0002-6417,,,Not currently indexed for MEDLINE.,,Dentistry*,Periodical,,Dentistry,1
7604908.0,Alumni Bull Sch Dent Indiana Univ,"Alumni bulletin - School of Dentistry, Indiana University.",Indiana University School of Dentistry.,1938,,Three no. a year,United States,"Indianapolis, In : Indiana University. School Of Dentistry",English,,0073-7119,0073-7119,,,Not currently indexed for MEDLINE.,,"Dentistry*; Schools, Dental*; United States",Periodical,"Title varies slightly. Issues for 1938-45? numbered v. 1-8. Vol. 14, no. 3 (2000)",Dentistry,1
