"id","source","pmcid","title","journalTitle","issue","journalVolume","pubYear","pageInfo","pubType","isOpenAccess","inEPMC","inPMC","hasPDF","hasBook","hasSuppl","citedByCount","hasReferences","hasTextMinedTerms","hasDbCrossReferences","hasLabsLinks","hasTMAccessionNumbers","firstIndexDate","firstPublicationDate","journalIssn","doi","authorString","pmid"
"PMC3807162","PMC","PMC3807162","Letter from Professor Edwards: Vienna, Dec. 30, 1899.","Quarterly Bulletin of the Northwestern University Medical School","7","1","1900","245-248","research-article; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2020-02-27","1900-01-31",NA,NA,NA,NA
"PMC3807163","PMC","PMC3807163","Practical obstacles confronting the police power in dealing with prostitutes and with venereal diseases.","Quarterly Bulletin of the Northwestern University Medical School","7","1","1900","242-244","research-article; journal article","N","Y","Y","Y","N","N",0,"N","Y","N","N","N","2020-02-27","1900-01-31",NA,NA,NA,NA
"PMC3807164","PMC","PMC3807164","Clinical demonstration of the commoner signs of left pleurisy with effusion.","Quarterly Bulletin of the Northwestern University Medical School","7","1","1900","249-252","research-article; journal article","N","Y","Y","Y","N","N",0,"N","Y","N","N","N","2020-02-27","1900-01-31",NA,NA,NA,NA
"PMC3807161","PMC","PMC3807161","Aseptic and antiseptic. : Technique as Practiced in the Clinics of Dr. A.E. Halstead, at the Chicago Policlinic and at the N.W. Univ. Med. College. With Special Reference to Drainage.","Quarterly Bulletin of the Northwestern University Medical School","7","1","1900","237-241","research-article; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2020-02-27","1900-01-31",NA,NA,NA,NA
"PMC5269218","PMC","PMC5269218","The Book World of Medicine and Science","Hospital (Lond 1886)","696","27","1900","278-278","book-review; book review","Y","Y","Y","Y","N","N",0,"N","N","N","N","N","2018-05-26","1900-01-27","0267-6478",NA,NA,NA
"PMC2505431","PMC","PMC2505431","Reviews","Br Med J","2039","1","1900","199-200","review-article; review; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-27","0007-1447",NA,NA,NA
"PMC2505438","PMC","PMC2505438","Medical Organisation","Br Med J","2039","1","1900","235-235","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-27","0007-1447",NA,NA,NA
"PMC2505416","PMC","PMC2505416","Amalgamation of Defence Societies","Br Med J","2039","1","1900","234-234","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-27","0007-1447",NA,NA,NA
"PMC2505420","PMC","PMC2505420","The Duty to Send Information to the Coroner","Br Med J","2039","1","1900","235-235","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-27","0007-1447",NA,NA,NA
"PMC2505424","PMC","PMC2505424","Dr. W. J. Collins and the University of London","Br Med J","2039","1","1900","234-235","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-27","0007-1447",NA,NA,NA
"PMC2505436","PMC","PMC2505436","Special Correspondence","Br Med J","2039","1","1900","233-234","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-27","0007-1447",NA,NA,NA
"PMC2505410","PMC","PMC2505410","An Old Directory","Br Med J","2039","1","1900","235-235","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-27","0007-1447",NA,NA,NA
"PMC2505412","PMC","PMC2505412","An Old Directory","Br Med J","2039","1","1900","235-235","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-27","0007-1447",NA,NA,NA
"PMC2505413","PMC","PMC2505413","Letters, Notes, and Answers to Correspondents","Br Med J","2039","1","1900","239-240","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-27","0007-1447",NA,NA,NA
"PMC2505429","PMC","PMC2505429","The Representation of the Society of Apothecaries of London","Br Med J","2039","1","1900","234-234","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-27","0007-1447",NA,NA,NA
"PMC2505434","PMC","PMC2505434","The Metropolitan Asylums Board and its Assistant Medical Officers","Br Med J","2039","1","1900","235-235","letter","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-27","0007-1447",NA,NA,NA
"PMC2505440","PMC","PMC2505440","An Epitome of Current Medical Literature","Br Med J","2039","1","1900","E13-E16","research-article; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-27","0007-1447",NA,NA,NA
"PMC2505437","PMC","PMC2505437","British Medical Journal","Br Med J","2039","1","1900","211-218","research-article; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-27","0007-1447",NA,NA,NA
"PMC2505439","PMC","PMC2505439","Association Intelligence","Br Med J","2039","1","1900","226-233","research-article; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-27","0007-1447",NA,NA,NA
"PMC2505417","PMC","PMC2505417","The Application of Bacteriology to Public Health *","Br Med J","2039","1","1900","186-190","research-article; journal article","N","Y","Y","Y","N","N",0,"N","N","N","N","N","2010-02-22","1900-01-27","0007-1447",NA,NA,NA
